Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland
Areal series, starting in 1910
Last updated 01-Nov-2024 10:45
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1910   37.8   62.6  109.0  117.4  174.1  179.7  142.3  105.1  113.7   76.9   54.0   27.7     ---   400.5   427.1   244.6  1200.3
1911   33.5   53.6  115.4  102.1  206.4  192.9  180.3  167.5  117.8   77.5   47.7   26.4   114.8   423.9   540.7   242.9  1321.0
1912   28.7   56.4   92.8  160.9  158.1   82.3  131.8   64.8  104.4   62.5   29.8   10.5   111.4   411.9   279.0   196.7   983.1
1913   20.3   36.1   96.4  119.8  138.2  142.0  145.2  125.6   82.8   83.2   43.1   23.9    67.0   354.3   412.8   209.1  1056.6
1914   22.4   43.0   97.6  165.3  133.0  173.7  129.9  148.9  114.1   68.1   37.2   26.4    89.2   395.9   452.5   219.4  1159.6
1915   29.9   48.7   97.8  128.4  208.0  205.9  135.1  105.6  122.0   88.9   53.4   18.3   105.0   434.3   446.7   264.3  1242.2
1916   32.8   63.2   72.7  130.6  138.3  123.5  102.3  131.1   93.3   59.0   31.3   21.8   114.4   341.5   356.9   183.6   999.9
1917   26.9   57.7   86.7  117.6  135.2  200.0  191.9  108.7   92.6   71.4   33.3   30.6   106.4   339.4   500.5   197.2  1152.4
1918   24.7   41.7   81.1  159.2  139.5  178.9  152.5   96.5  112.5   56.7   51.0   27.5    97.1   379.8   427.9   220.2  1121.8
1919   33.2   57.9  104.8  103.8  188.2  157.2  174.7  153.3  119.2   80.6   45.9   27.5   118.6   396.8   485.1   245.7  1246.3
1920   32.4   56.5   85.0  111.5  155.0  207.7  122.2  115.8   98.9   80.0   38.9   36.2   116.4   351.5   445.7   217.8  1140.0
1921   28.3   53.8   83.6  164.0  181.6  205.4  156.9  121.9  105.3   60.7   49.1   23.1   118.2   429.2   484.3   215.0  1233.6
1922   28.9   43.2   96.9  152.2  168.6  140.9  118.8  117.9   94.4   93.2   44.4   23.6    95.2   417.8   377.6   232.0  1123.1
1923   29.6   34.7  119.9  126.6  145.5  115.1  128.4  113.3  108.7   88.2   51.9   28.9    87.9   392.1   356.8   248.8  1090.8
1924   28.3   45.8   93.0  124.0  125.2  156.3  130.6   83.8  113.6   77.0   40.1   25.0   103.0   342.1   370.6   230.7  1042.4
1925   32.9   47.4   88.2  152.2  123.8  220.9  142.3  124.6   95.8   73.6   68.1   29.5   105.3   364.2   487.8   237.5  1199.4
1926   26.5   43.6   80.3  119.0  179.5  163.6  170.7  148.1  109.0   87.0   53.5   27.7    99.6   378.8   482.4   249.5  1208.5
1927   29.5   60.8  100.9  133.3  155.2  168.7  134.8  134.6   83.4   79.9   49.9   25.7   117.9   389.3   438.1   213.2  1156.5
1928   32.1   66.9   56.7  119.6  152.8  169.3  117.7  116.3  135.2   77.0   43.2   27.9   124.7   329.1   403.2   255.4  1114.6
1929   38.1   52.6  149.8  149.9  181.7  177.9  138.2  102.2  100.2   77.4   44.4   33.0   118.6   481.4   418.3   222.0  1245.4
1930   36.6   79.2  100.6  125.7  169.8  199.0  108.7  112.2   78.2   67.1   49.1   25.8   148.8   396.2   420.0   194.5  1152.2
